Dish Name,Ingredients
Cereal,"fruits, milk, nuts, oats, honey"
Shawarma,"garlic, cumin, chicken, yogurt"
Omelette,"salt, cheese, pepper, onions, butter, eggs"
Japanese Ramen,"broth, egg, scallions, pork"
Greek Salad,"lettuce, olives, feta cheese, tomato, dressing"
Tacos,"beef, lettuce, cheese, tortilla, salsa"
Pad Thai,"lime, rice noodles, peanut, shrimp, egg"
Caesar Salad,"parmesan, chicken, Caesar dressing, lettuce, croutons"
Grilled Chicken,"seasoning, lettuce, tomato, chicken"
Shawarma,"garlic, cumin, chicken, yogurt, pita"
Lasagna,"garlic, pasta, ground beef, tomato sauce"
Pancakes,"eggs, vanilla, milk, butter"
Japanese Ramen,"ginger, scallions, noodles, pork, egg"
Tacos,"salsa, lettuce, cheese, beef"
Pancakes,"sugar, vanilla, flour, eggs, milk, butter"
Chicken Biryani,"chicken, yogurt, rice, saffron, cardamom"
Chicken Biryani,"spices, rice, chicken, yogurt, cardamom"
Caesar Salad,"chicken, lettuce, croutons, parmesan"
Pho,"lime, broth, chili, rice noodles, basil"
Shawarma,"cumin, yogurt, chicken, garlic"
Pasta Carbonara,"cheese, tomato sauce, basil, olive oil, pasta"
Caesar Salad,"croutons, Caesar dressing, parmesan, lettuce"
Beef Steak,"pepper, beef, butter, salt, garlic"
Omelette,"butter, pepper, cheese, onions, salt"
Japanese Ramen,"pork, egg, noodles, scallions"
Lasagna,"tomato sauce, garlic, pasta, ground beef"
Turkey Sandwich,"lettuce, cheese, mayonnaise, turkey, tomato"
BBQ Ribs,"BBQ sauce, garlic, spices, pork, brown sugar"
Pancakes,"eggs, milk, sugar, butter, vanilla"
Spring Rolls,"cabbage, carrots, shrimp, rice paper"
Beef Steak,"pepper, beef, salt, butter, garlic"
Grilled Chicken,"chicken, garlic, seasoning, tomato, lettuce"
Grilled Chicken,"garlic, seasoning, tomato, chicken"
Pad Thai,"shrimp, lime, peanut, egg, rice noodles"
Greek Salad,"dressing, tomato, feta cheese, cucumber, lettuce"
Caesar Salad,"croutons, Caesar dressing, lettuce, parmesan, chicken"
Turkey Sandwich,"tomato, turkey, bread, mayonnaise, lettuce, cheese"
Dim Sum,"ginger, shrimp, pork, soy sauce, dumpling wrapper"
Cereal,"honey, oats, fruits, nuts, milk"
Cereal,"honey, nuts, milk, fruits"
Shawarma,"chicken, cumin, pita, yogurt, garlic"
Spring Rolls,"cabbage, peanut sauce, carrots, rice paper"
Japanese Ramen,"broth, egg, ginger, noodles, scallions, pork"
Turkey Sandwich,"turkey, cheese, mayonnaise, lettuce, tomato"
BBQ Ribs,"pork, BBQ sauce, garlic, brown sugar"
Spanish Paella,"seafood, rice, onions, peppers, saffron"
Sushi,"rice, seaweed, salmon, soy sauce, avocado"
Pancakes,"flour, milk, eggs, sugar, butter, vanilla"
Omelette,"onions, eggs, cheese, butter, salt"
Caesar Salad,"chicken, Caesar dressing, parmesan, lettuce, croutons"
Pancakes,"butter, milk, flour, sugar, vanilla"
Dim Sum,"shrimp, pork, ginger, soy sauce, dumpling wrapper"
Shawarma,"pita, garlic, cumin, yogurt, chicken"
Omelette,"salt, pepper, onions, cheese, butter, eggs"
Pancakes,"sugar, eggs, milk, butter, vanilla, flour"
Pancakes,"sugar, butter, eggs, milk, flour, vanilla"
Spring Rolls,"cabbage, peanut sauce, rice paper, carrots, shrimp"
Pasta Carbonara,"pasta, cheese, basil, olive oil"
Caesar Salad,"croutons, parmesan, chicken, lettuce, Caesar dressing"
Tacos,"beef, tortilla, cheese, salsa"
Greek Salad,"feta cheese, lettuce, olives, dressing"
Lasagna,"cheese, onion, ground beef, pasta"
Turkey Sandwich,"turkey, lettuce, bread, cheese, mayonnaise"
Spanish Paella,"saffron, seafood, peppers, rice, onions"
Caesar Salad,"croutons, lettuce, parmesan, chicken"
Pancakes,"eggs, flour, vanilla, milk"
Lasagna,"ground beef, onion, tomato sauce, garlic"
Spring Rolls,"shrimp, cabbage, peanut sauce, carrots, rice paper"
Greek Salad,"olives, feta cheese, lettuce, dressing"
Japanese Ramen,"pork, egg, ginger, broth"
Grilled Chicken,"lettuce, tomato, garlic, seasoning, chicken"
Grilled Chicken,"lettuce, chicken, garlic, seasoning, tomato"
Omelette,"butter, cheese, pepper, onions, salt"
Chicken Biryani,"yogurt, spices, cardamom, chicken, rice, saffron"
Caesar Salad,"croutons, parmesan, chicken, Caesar dressing"
Pad Thai,"rice noodles, shrimp, peanut, egg, lime"
Shawarma,"pita, yogurt, garlic, chicken, cumin"
Caesar Salad,"chicken, Caesar dressing, croutons, lettuce, parmesan"
Dim Sum,"shrimp, dumpling wrapper, pork, soy sauce, ginger"
Pancakes,"butter, vanilla, flour, eggs, milk, sugar"
Greek Salad,"olives, dressing, lettuce, feta cheese"
Spring Rolls,"carrots, rice paper, peanut sauce, shrimp, cabbage"
Cereal,"milk, honey, nuts, oats"
Pancakes,"butter, vanilla, milk, eggs"
Japanese Ramen,"noodles, ginger, scallions, egg, pork"
Spring Rolls,"rice paper, peanut sauce, carrots, shrimp, cabbage"
Greek Salad,"feta cheese, dressing, lettuce, cucumber"
Omelette,"onions, salt, pepper, eggs, butter, cheese"
BBQ Ribs,"BBQ sauce, spices, brown sugar, garlic, pork"
Japanese Ramen,"noodles, pork, broth, scallions"
Grilled Chicken,"lettuce, seasoning, tomato, chicken, garlic"
Pho,"beef, lime, chili, broth"
Chicken Biryani,"cardamom, rice, saffron, yogurt"
Pancakes,"eggs, sugar, butter, vanilla, milk, flour"
BBQ Ribs,"brown sugar, spices, BBQ sauce, garlic, pork"
Chicken Biryani,"spices, chicken, cardamom, rice, yogurt, saffron"
Tacos,"tortilla, lettuce, cheese, salsa"
Pad Thai,"egg, rice noodles, shrimp, peanut, lime"
Pasta Carbonara,"basil, tomato sauce, olive oil, pasta, cheese"
Caesar Salad,"chicken, croutons, parmesan, lettuce, Caesar dressing"
Shawarma,"yogurt, cumin, chicken, garlic, pita"
Greek Salad,"dressing, cucumber, olives, lettuce, feta cheese"
Pho,"chili, rice noodles, lime, basil, broth, beef"
Pad Thai,"peanut, rice noodles, egg, shrimp, lime"
Spring Rolls,"carrots, shrimp, rice paper, peanut sauce, cabbage"
Lasagna,"ground beef, onion, garlic, tomato sauce, pasta, cheese"
Turkey Sandwich,"bread, mayonnaise, tomato, cheese, turkey"
Pancakes,"flour, sugar, vanilla, milk"
Omelette,"salt, pepper, onions, eggs, cheese"
Greek Salad,"tomato, cucumber, lettuce, feta cheese, olives"
Clam Chowder,"celery, potato, clam, cream, onion"
Grilled Chicken,"garlic, seasoning, lettuce, chicken, tomato"
Caesar Salad,"Caesar dressing, parmesan, croutons, lettuce, chicken"
Butter Chicken,"onions, chicken, coconut milk, spices"
Chicken Biryani,"rice, spices, yogurt, cardamom, chicken"
Lasagna,"cheese, tomato sauce, garlic, pasta, onion, ground beef"
BBQ Ribs,"brown sugar, pork, spices, garlic"
Dim Sum,"dumpling wrapper, shrimp, pork, ginger, soy sauce"
Clam Chowder,"cream, clam, potato, celery, onion"
Spring Rolls,"peanut sauce, cabbage, carrots, shrimp, rice paper"
Caesar Salad,"Caesar dressing, parmesan, chicken, croutons"
Turkey Sandwich,"tomato, bread, turkey, lettuce, cheese, mayonnaise"
Pho,"basil, rice noodles, beef, chili"
Turkey Sandwich,"tomato, mayonnaise, turkey, lettuce, cheese"
Caesar Salad,"lettuce, chicken, croutons, parmesan, Caesar dressing"
Pancakes,"eggs, sugar, flour, vanilla, butter"
Shawarma,"garlic, pita, chicken, yogurt"
Shawarma,"cumin, pita, chicken, garlic"
Pancakes,"eggs, vanilla, milk, sugar"
Japanese Ramen,"ginger, broth, egg, noodles, scallions, pork"
Clam Chowder,"clam, onion, celery, potato"
Shawarma,"pita, garlic, chicken, yogurt, cumin"
Shawarma,"cumin, yogurt, garlic, chicken, pita"
Clam Chowder,"cream, celery, onion, clam"
Caesar Salad,"lettuce, parmesan, chicken, croutons, Caesar dressing"
Cereal,"honey, milk, nuts, fruits, oats"
Grilled Chicken,"seasoning, garlic, chicken, tomato"
Dim Sum,"dumpling wrapper, pork, soy sauce, shrimp, ginger"
Spring Rolls,"peanut sauce, shrimp, carrots, cabbage, rice paper"
Greek Salad,"cucumber, tomato, dressing, feta cheese, lettuce"
Pancakes,"vanilla, flour, eggs, sugar, butter, milk"
Sushi,"salmon, avocado, soy sauce, seaweed, rice"
Pasta Carbonara,"olive oil, pasta, tomato sauce, cheese, basil"
Beef Steak,"butter, pepper, garlic, salt, beef"
Butter Chicken,"onions, spices, coconut milk, chicken"
Caesar Salad,"lettuce, parmesan, Caesar dressing, chicken"
Chicken Biryani,"chicken, saffron, cardamom, spices"
Omelette,"onions, cheese, butter, eggs, pepper"
Chicken Biryani,"yogurt, spices, chicken, saffron, rice"
Turkey Sandwich,"bread, turkey, tomato, mayonnaise, cheese, lettuce"
Omelette,"eggs, butter, pepper, cheese, salt, onions"
Caesar Salad,"lettuce, Caesar dressing, croutons, chicken"
Caesar Salad,"Caesar dressing, lettuce, chicken, croutons, parmesan"
Greek Salad,"lettuce, dressing, feta cheese, cucumber, tomato, olives"
Turkey Sandwich,"cheese, bread, turkey, mayonnaise, tomato"
Butter Chicken,"onions, chicken, curry powder, coconut milk, spices"
Clam Chowder,"onion, cream, potato, celery"
Chicken Biryani,"rice, cardamom, spices, saffron, chicken, yogurt"
Spanish Paella,"onions, peppers, rice, saffron"
Cereal,"nuts, oats, fruits, milk, honey"
Turkey Sandwich,"cheese, mayonnaise, bread, tomato, turkey"
Shawarma,"cumin, pita, garlic, yogurt, chicken"
Japanese Ramen,"broth, scallions, ginger, noodles, pork, egg"
Shawarma,"yogurt, pita, chicken, garlic"
Lasagna,"cheese, ground beef, garlic, onion, tomato sauce"
Omelette,"onions, salt, pepper, cheese, butter"
Caesar Salad,"chicken, Caesar dressing, croutons, lettuce"
Greek Salad,"feta cheese, lettuce, dressing, olives, cucumber, tomato"
Lasagna,"tomato sauce, pasta, onion, ground beef, cheese"
Grilled Chicken,"garlic, lettuce, tomato, chicken, seasoning"
Dim Sum,"ginger, shrimp, dumpling wrapper, pork, soy sauce"
Greek Salad,"lettuce, tomato, dressing, olives"
Omelette,"salt, pepper, eggs, onions"
Sushi,"soy sauce, seaweed, rice, salmon, avocado"
Butter Chicken,"curry powder, spices, chicken, coconut milk, onions"
Cereal,"milk, oats, honey, nuts"
Turkey Sandwich,"turkey, cheese, lettuce, tomato"
Chicken Biryani,"spices, cardamom, yogurt, chicken, rice"
Turkey Sandwich,"turkey, lettuce, tomato, cheese, mayonnaise, bread"
Omelette,"onions, eggs, butter, cheese"
Dim Sum,"shrimp, dumpling wrapper, soy sauce, pork, ginger"
Dim Sum,"pork, ginger, dumpling wrapper, soy sauce, shrimp"
Pasta Carbonara,"cheese, tomato sauce, olive oil, basil, pasta"
Turkey Sandwich,"turkey, mayonnaise, lettuce, bread"
Butter Chicken,"spices, coconut milk, onions, curry powder"
Dim Sum,"dumpling wrapper, pork, ginger, shrimp, soy sauce"
Greek Salad,"olives, lettuce, tomato, cucumber"
Greek Salad,"dressing, olives, tomato, cucumber, feta cheese"
Pho,"basil, lime, rice noodles, chili, broth, beef"
Grilled Chicken,"chicken, lettuce, seasoning, tomato"
Shawarma,"cumin, pita, chicken, garlic, yogurt"
Omelette,"cheese, onions, pepper, salt, eggs"
Spring Rolls,"carrots, shrimp, rice paper, cabbage, peanut sauce"
Pasta Carbonara,"tomato sauce, pasta, olive oil, basil, cheese"
Tacos,"cheese, beef, tortilla, lettuce"
Greek Salad,"feta cheese, lettuce, cucumber, dressing"
Pancakes,"eggs, flour, butter, sugar, vanilla"
Chicken Biryani,"chicken, cardamom, yogurt, saffron, spices"
Pad Thai,"rice noodles, peanut, shrimp, egg, lime"
Caesar Salad,"lettuce, chicken, croutons, Caesar dressing, parmesan"
Greek Salad,"tomato, cucumber, feta cheese, dressing"
Lasagna,"onion, cheese, ground beef, pasta"
Dim Sum,"pork, shrimp, soy sauce, dumpling wrapper, ginger"
Dim Sum,"shrimp, ginger, dumpling wrapper, pork"
Spring Rolls,"peanut sauce, cabbage, rice paper, carrots"
Pho,"broth, basil, lime, chili, rice noodles"
BBQ Ribs,"garlic, brown sugar, pork, BBQ sauce"
Shawarma,"pita, garlic, chicken, cumin, yogurt"
Tacos,"lettuce, cheese, salsa, tortilla"
BBQ Ribs,"pork, brown sugar, spices, garlic"
Pad Thai,"peanut, lime, rice noodles, shrimp, egg"
Spring Rolls,"cabbage, carrots, rice paper, peanut sauce"
Pasta Carbonara,"pasta, basil, olive oil, tomato sauce, cheese"
Spanish Paella,"rice, peppers, saffron, seafood"
Spanish Paella,"rice, saffron, peppers, seafood, onions"
Caesar Salad,"croutons, lettuce, chicken, Caesar dressing, parmesan"
Spanish Paella,"saffron, seafood, peppers, rice, onions"
Caesar Salad,"Caesar dressing, croutons, parmesan, chicken"
Omelette,"pepper, salt, eggs, onions"
Beef Steak,"salt, pepper, beef, garlic"
Sushi,"rice, seaweed, avocado, soy sauce, salmon"
Grilled Chicken,"chicken, tomato, lettuce, garlic, seasoning"
Chicken Biryani,"chicken, yogurt, saffron, rice, cardamom, spices"
Pad Thai,"egg, rice noodles, lime, peanut"
Beef Steak,"garlic, salt, butter, pepper, beef"
BBQ Ribs,"BBQ sauce, garlic, spices, pork, brown sugar"
Pasta Carbonara,"cheese, pasta, basil, tomato sauce, olive oil"
Tacos,"salsa, lettuce, beef, cheese, tortilla"
BBQ Ribs,"brown sugar, BBQ sauce, pork, garlic, spices"
Tacos,"beef, salsa, lettuce, cheese, tortilla"
Omelette,"onions, eggs, pepper, butter, cheese, salt"
Sushi,"soy sauce, seaweed, avocado, salmon"
Cereal,"oats, honey, milk, fruits"
Pad Thai,"rice noodles, egg, lime, peanut"
Japanese Ramen,"ginger, egg, broth, noodles"
Pancakes,"sugar, vanilla, eggs, butter, flour, milk"
Spanish Paella,"peppers, onions, saffron, rice"
Spring Rolls,"cabbage, carrots, peanut sauce, rice paper, shrimp"
Tacos,"cheese, beef, salsa, lettuce, tortilla"
Grilled Chicken,"garlic, tomato, chicken, lettuce, seasoning"
Pancakes,"milk, eggs, flour, sugar"
Cereal,"milk, fruits, oats, honey, nuts"
Tacos,"cheese, salsa, lettuce, tortilla, beef"
Spanish Paella,"saffron, rice, seafood, onions, peppers"
Dim Sum,"dumpling wrapper, soy sauce, pork, ginger, shrimp"
Spring Rolls,"cabbage, rice paper, carrots, shrimp"
Butter Chicken,"spices, coconut milk, chicken, onions, curry powder"
Omelette,"cheese, pepper, onions, butter, salt, eggs"
Beef Steak,"pepper, butter, salt, garlic, beef"
Pad Thai,"rice noodles, egg, lime, shrimp"
Grilled Chicken,"seasoning, lettuce, garlic, chicken, tomato"
Omelette,"onions, salt, eggs, butter, cheese"
Lasagna,"cheese, garlic, tomato sauce, onion, pasta, ground beef"
Pad Thai,"peanut, rice noodles, shrimp, egg, lime"
Spanish Paella,"saffron, peppers, seafood, onions"
Lasagna,"onion, pasta, ground beef, garlic"
Pancakes,"eggs, flour, milk, vanilla"
Lasagna,"ground beef, tomato sauce, garlic, cheese"
Spring Rolls,"shrimp, cabbage, rice paper, carrots"
Caesar Salad,"Caesar dressing, croutons, chicken, parmesan, lettuce"
Dim Sum,"dumpling wrapper, pork, shrimp, ginger, soy sauce"
Pasta Carbonara,"cheese, olive oil, pasta, basil, tomato sauce"
Spring Rolls,"cabbage, shrimp, rice paper, peanut sauce, carrots"
Turkey Sandwich,"tomato, turkey, cheese, lettuce, mayonnaise"
Pad Thai,"rice noodles, peanut, egg, lime, shrimp"
Turkey Sandwich,"bread, lettuce, cheese, tomato, turkey"
Dim Sum,"shrimp, ginger, dumpling wrapper, pork, soy sauce"
Pad Thai,"peanut, lime, rice noodles, shrimp, egg"
Pasta Carbonara,"pasta, tomato sauce, cheese, olive oil, basil"
Pad Thai,"egg, rice noodles, peanut, lime, shrimp"
Spanish Paella,"seafood, onions, rice, peppers, saffron"
Pasta Carbonara,"basil, cheese, olive oil, pasta, tomato sauce"
Tacos,"tortilla, lettuce, cheese, salsa, beef"
Pancakes,"milk, vanilla, sugar, butter, flour"
Clam Chowder,"potato, clam, onion, celery, cream"
Beef Steak,"beef, pepper, butter, garlic"
Pasta Carbonara,"basil, pasta, olive oil, cheese, tomato sauce"
Turkey Sandwich,"turkey, bread, mayonnaise, lettuce, cheese, tomato"
Beef Steak,"garlic, salt, beef, butter"
Lasagna,"ground beef, cheese, tomato sauce, onion"
Pasta Carbonara,"olive oil, cheese, pasta, tomato sauce, basil"
Pancakes,"flour, butter, sugar, eggs, vanilla, milk"
Japanese Ramen,"scallions, pork, ginger, noodles, egg"
Cereal,"milk, fruits, nuts, honey"
Grilled Chicken,"chicken, garlic, tomato, lettuce"
Greek Salad,"tomato, olives, feta cheese, dressing, lettuce"
Grilled Chicken,"garlic, lettuce, chicken, tomato, seasoning"
Sushi,"seaweed, soy sauce, salmon, avocado, rice"
Beef Steak,"beef, salt, pepper, butter, garlic"
Tacos,"salsa, tortilla, lettuce, beef"
Cereal,"fruits, nuts, milk, oats, honey"
Pad Thai,"egg, lime, peanut, shrimp, rice noodles"
Turkey Sandwich,"mayonnaise, bread, cheese, lettuce, turkey"
Chicken Biryani,"cardamom, yogurt, spices, rice"
Shawarma,"garlic, yogurt, chicken, cumin, pita"
Cereal,"honey, fruits, milk, oats, nuts"
Pad Thai,"lime, egg, shrimp, peanut, rice noodles"
Grilled Chicken,"chicken, lettuce, garlic, tomato, seasoning"
Grilled Chicken,"chicken, tomato, seasoning, garlic, lettuce"
Pancakes,"milk, butter, sugar, vanilla"
Tacos,"cheese, tortilla, beef, salsa"
Pho,"rice noodles, chili, lime, beef, basil"
Spanish Paella,"seafood, peppers, onions, rice, saffron"
Spanish Paella,"peppers, seafood, onions, saffron, rice"
Turkey Sandwich,"cheese, turkey, tomato, mayonnaise, lettuce, bread"
Caesar Salad,"croutons, chicken, parmesan, lettuce, Caesar dressing"
Greek Salad,"olives, tomato, lettuce, cucumber, dressing, feta cheese"
Lasagna,"ground beef, cheese, pasta, tomato sauce"
Dim Sum,"pork, soy sauce, ginger, dumpling wrapper, shrimp"
BBQ Ribs,"garlic, spices, brown sugar, BBQ sauce, pork"
Tacos,"tortilla, cheese, beef, lettuce, salsa"
Spanish Paella,"saffron, rice, onions, seafood, peppers"
Turkey Sandwich,"turkey, mayonnaise, cheese, lettuce"
Spanish Paella,"rice, saffron, seafood, onions"
Turkey Sandwich,"tomato, bread, cheese, lettuce, turkey, mayonnaise"
Omelette,"pepper, onions, butter, cheese, salt"
Sushi,"salmon, rice, seaweed, soy sauce, avocado"
Tacos,"salsa, cheese, beef, lettuce"
Omelette,"eggs, cheese, salt, pepper"
Lasagna,"cheese, onion, tomato sauce, ground beef"
Lasagna,"tomato sauce, pasta, cheese, garlic"
Tacos,"lettuce, tortilla, salsa, beef, cheese"
Pad Thai,"rice noodles, egg, lime, peanut"
Spanish Paella,"onions, seafood, peppers, saffron"
Shawarma,"chicken, pita, yogurt, garlic"
Tacos,"cheese, lettuce, salsa, beef, tortilla"
Pho,"beef, rice noodles, lime, broth, chili, basil"
Sushi,"rice, avocado, salmon, seaweed, soy sauce"
Cereal,"fruits, nuts, honey, oats, milk"
Cereal,"oats, nuts, fruits, honey, milk"
Dim Sum,"soy sauce, shrimp, ginger, dumpling wrapper, pork"
Cereal,"honey, milk, oats, nuts, fruits"
Grilled Chicken,"chicken, tomato, garlic, seasoning, lettuce"
Beef Steak,"beef, butter, pepper, salt"
Pad Thai,"lime, egg, shrimp, rice noodles, peanut"
Pho,"beef, chili, broth, rice noodles, basil"
Spring Rolls,"shrimp, peanut sauce, carrots, rice paper"
Omelette,"pepper, onions, butter, cheese"
Sushi,"salmon, avocado, soy sauce, rice, seaweed"
Spanish Paella,"onions, peppers, saffron, seafood, rice"
BBQ Ribs,"pork, brown sugar, spices, garlic, BBQ sauce"
BBQ Ribs,"pork, spices, BBQ sauce, brown sugar, garlic"
Pad Thai,"lime, peanut, shrimp, rice noodles, egg"
Spring Rolls,"carrots, shrimp, cabbage, peanut sauce, rice paper"
Tacos,"cheese, beef, tortilla, lettuce"
Pho,"basil, rice noodles, beef, chili"
Pasta Carbonara,"tomato sauce, olive oil, cheese, basil, pasta"
Sushi,"salmon, soy sauce, avocado, seaweed, rice"
Lasagna,"cheese, pasta, ground beef, garlic"
Lasagna,"tomato sauce, cheese, ground beef, pasta, onion"
Grilled Chicken,"lettuce, chicken, tomato, garlic"
Pho,"rice noodles, lime, beef, basil, broth"
Pasta Carbonara,"pasta, tomato sauce, cheese, olive oil"
Omelette,"onions, salt, butter, pepper, cheese, eggs"
Sushi,"avocado, soy sauce, salmon, seaweed"
BBQ Ribs,"pork, spices, garlic, BBQ sauce, brown sugar"
Cereal,"honey, fruits, milk, nuts, oats"
Turkey Sandwich,"mayonnaise, lettuce, cheese, tomato, turkey, bread"
Chicken Biryani,"yogurt, chicken, cardamom, spices, saffron, rice"
Spring Rolls,"shrimp, cabbage, rice paper, carrots, peanut sauce"
Pho,"rice noodles, basil, lime, beef, broth, chili"
Omelette,"salt, butter, pepper, cheese, eggs"
Grilled Chicken,"tomato, chicken, garlic, seasoning, lettuce"
Omelette,"butter, cheese, eggs, salt"
Sushi,"avocado, soy sauce, seaweed, salmon, rice"
Dim Sum,"soy sauce, pork, shrimp, dumpling wrapper"
Cereal,"nuts, oats, milk, honey"
Greek Salad,"lettuce, feta cheese, tomato, dressing"
Tacos,"tortilla, salsa, beef, cheese, lettuce"
Butter Chicken,"onions, spices, curry powder, chicken, coconut milk"
BBQ Ribs,"brown sugar, pork, garlic, spices, BBQ sauce"
Butter Chicken,"curry powder, chicken, coconut milk, onions"
BBQ Ribs,"brown sugar, spices, garlic, BBQ sauce, pork"
Grilled Chicken,"garlic, lettuce, chicken, seasoning"
BBQ Ribs,"brown sugar, garlic, BBQ sauce, spices, pork"
Dim Sum,"ginger, shrimp, soy sauce, pork, dumpling wrapper"
Sushi,"seaweed, avocado, soy sauce, salmon"
Lasagna,"garlic, pasta, ground beef, tomato sauce, cheese, onion"
Omelette,"butter, salt, onions, pepper, cheese"
Spanish Paella,"saffron, peppers, rice, seafood, onions"
Clam Chowder,"celery, potato, onion, clam"
Spring Rolls,"rice paper, cabbage, carrots, shrimp, peanut sauce"
Pad Thai,"egg, peanut, shrimp, rice noodles"
Shawarma,"chicken, garlic, pita, cumin"
Spring Rolls,"shrimp, cabbage, rice paper, peanut sauce, carrots"
Tacos,"beef, salsa, cheese, lettuce"
Sushi,"soy sauce, seaweed, rice, avocado, salmon"
BBQ Ribs,"brown sugar, BBQ sauce, garlic, spices, pork"
Beef Steak,"garlic, butter, pepper, beef"
Pasta Carbonara,"tomato sauce, pasta, basil, cheese, olive oil"
Clam Chowder,"cream, onion, potato, celery"
Caesar Salad,"chicken, lettuce, parmesan, croutons, Caesar dressing"
Caesar Salad,"parmesan, croutons, chicken, lettuce, Caesar dressing"
BBQ Ribs,"brown sugar, spices, BBQ sauce, garlic, pork"
Beef Steak,"beef, salt, butter, pepper"
Pancakes,"vanilla, flour, eggs, butter, milk, sugar"
Chicken Biryani,"chicken, cardamom, saffron, rice"
Grilled Chicken,"seasoning, chicken, tomato, garlic, lettuce"
Pad Thai,"peanut, egg, shrimp, lime, rice noodles"
Omelette,"cheese, salt, butter, eggs, onions"
Dim Sum,"pork, soy sauce, shrimp, dumpling wrapper, ginger"
Grilled Chicken,"seasoning, garlic, lettuce, tomato, chicken"
Turkey Sandwich,"lettuce, bread, turkey, tomato, mayonnaise"
Pho,"basil, beef, rice noodles, chili"
Beef Steak,"beef, butter, garlic, salt, pepper"
Greek Salad,"tomato, olives, dressing, cucumber, feta cheese, lettuce"
BBQ Ribs,"BBQ sauce, spices, brown sugar, garlic"
Clam Chowder,"onion, cream, celery, clam, potato"
Japanese Ramen,"broth, ginger, egg, scallions"
Beef Steak,"pepper, salt, butter, beef, garlic"
Spring Rolls,"rice paper, cabbage, shrimp, peanut sauce"
Tacos,"beef, salsa, cheese, lettuce"
Cereal,"nuts, milk, oats, fruits, honey"
Greek Salad,"olives, cucumber, feta cheese, tomato, lettuce"
Pancakes,"butter, vanilla, flour, sugar, eggs"
Caesar Salad,"parmesan, chicken, lettuce, croutons, Caesar dressing"
Grilled Chicken,"chicken, tomato, lettuce, seasoning, garlic"
Tacos,"salsa, beef, tortilla, cheese"
Shawarma,"cumin, chicken, yogurt, pita, garlic"
Turkey Sandwich,"cheese, bread, lettuce, turkey"
Clam Chowder,"clam, potato, onion, cream, celery"
Lasagna,"garlic, ground beef, cheese, onion, tomato sauce, pasta"
Beef Steak,"garlic, pepper, salt, beef, butter"
Spring Rolls,"rice paper, peanut sauce, carrots, cabbage, shrimp"
Pancakes,"vanilla, eggs, milk, flour"
Greek Salad,"feta cheese, lettuce, olives, tomato, cucumber"
Caesar Salad,"chicken, croutons, lettuce, parmesan"
Caesar Salad,"Caesar dressing, croutons, chicken, parmesan, lettuce"
Dim Sum,"pork, soy sauce, dumpling wrapper, shrimp, ginger"
Tacos,"lettuce, cheese, tortilla, salsa, beef"
Shawarma,"chicken, yogurt, garlic, pita"
Pho,"broth, rice noodles, beef, chili, basil"
Sushi,"salmon, rice, soy sauce, seaweed"
Omelette,"butter, salt, onions, pepper, cheese, eggs"
Clam Chowder,"clam, cream, onion, celery, potato"
Dim Sum,"dumpling wrapper, ginger, shrimp, soy sauce, pork"
Japanese Ramen,"egg, broth, pork, noodles"
Sushi,"salmon, soy sauce, seaweed, avocado, rice"
BBQ Ribs,"spices, BBQ sauce, pork, brown sugar, garlic"
Japanese Ramen,"pork, noodles, egg, ginger, scallions, broth"
Beef Steak,"beef, pepper, garlic, salt"
Pasta Carbonara,"basil, tomato sauce, pasta, olive oil, cheese"
Pancakes,"milk, sugar, eggs, butter, flour"
BBQ Ribs,"garlic, spices, pork, brown sugar, BBQ sauce"
Pasta Carbonara,"basil, tomato sauce, cheese, pasta"
Japanese Ramen,"pork, noodles, scallions, egg, broth"
Greek Salad,"lettuce, dressing, olives, tomato"
Tacos,"lettuce, tortilla, salsa, cheese, beef"
Sushi,"soy sauce, seaweed, salmon, rice, avocado"
Spanish Paella,"onions, seafood, rice, peppers"
Omelette,"eggs, onions, cheese, salt, pepper, butter"
Shawarma,"garlic, chicken, pita, yogurt, cumin"
Cereal,"milk, fruits, oats, honey, nuts"
Beef Steak,"pepper, butter, salt, garlic, beef"
Greek Salad,"tomato, dressing, olives, cucumber, lettuce"
Tacos,"cheese, lettuce, salsa, beef"
Pasta Carbonara,"basil, cheese, pasta, tomato sauce"
Spanish Paella,"peppers, rice, seafood, saffron, onions"
Greek Salad,"cucumber, dressing, lettuce, tomato, olives, feta cheese"
Japanese Ramen,"ginger, scallions, broth, egg, pork"
Cereal,"nuts, honey, fruits, oats"
Tacos,"salsa, beef, tortilla, cheese"
Cereal,"nuts, fruits, honey, milk, oats"
Clam Chowder,"celery, potato, clam, cream"
Pho,"broth, basil, chili, lime"
Beef Steak,"garlic, pepper, beef, salt"
Sushi,"rice, salmon, seaweed, soy sauce"
Caesar Salad,"chicken, Caesar dressing, parmesan, croutons"
Beef Steak,"salt, garlic, pepper, butter"
Clam Chowder,"potato, celery, clam, cream"
Pancakes,"milk, eggs, vanilla, sugar, butter"
Shawarma,"cumin, garlic, pita, chicken, yogurt"
Japanese Ramen,"ginger, noodles, egg, pork, scallions, broth"
Butter Chicken,"spices, chicken, curry powder, coconut milk"
Caesar Salad,"Caesar dressing, croutons, lettuce, parmesan, chicken"
Spanish Paella,"peppers, onions, saffron, seafood, rice"
Clam Chowder,"potato, celery, clam, onion"
Dim Sum,"soy sauce, dumpling wrapper, ginger, pork, shrimp"
